,count,mean,std,min,25%,50%,75%,max
v136,17664.0,-0.00037920850247095234,0.0015891443512206906,-0.0129527421529565,-0.000457758566974275,0.00012227521910445,0.00023628047877945,0.0038055935102724
v137,17664.0,-0.00045952303326044045,0.0024470595807961778,-0.0153304833971071,2.873566461347732e-05,0.00019993852913750002,0.0003488694308186,0.0071026338426588
v138,17664.0,-0.000763242124072308,0.00514395133556669,-0.0381263246084208,0.000130587358236125,0.0003539402614716,0.0006313982046957,0.0107493276944179
v139,17664.0,-0.0007843836899588027,0.0055657540172047194,-0.0460154602330386,0.000118000839773875,0.0003312663402599,0.0006583313838673501,0.0113290361045643
v140,17664.0,-0.0005077592611413669,0.0027720622137957503,-0.0245257794845027,4.9266885324564594e-05,0.00019285038856835,0.00034492159352575,0.008075725307176
v141,17664.0,-0.0003771929559371411,0.001485444559950969,-0.0116254779728836,-0.000495889839127325,0.0001084272811356,0.0002231619068407,0.0049119942478403
v142,17664.0,-0.00037179570881071174,0.0011194094724275546,-0.0081874423877502,-0.0007627547212343999,-7.1811718846542805e-06,0.0001802963333734,0.0034457445279072
v143,17664.0,-0.0003503834173191443,0.001045003516085024,-0.0071807050251559,-0.000751266035547575,2.4144322631453052e-05,0.00018405177028865,0.0026340922834001
v144,17664.0,-0.0003531992914461224,0.0009105791604232537,-0.0072520803220126,-0.00079895948063885,-0.00011650648453695,0.000181348250738875,0.0017066683268043
v145,17664.0,-0.0003463238741773341,0.0007829803282175296,-0.0054943265785794,-0.00075300839859705,-0.00026435379875,0.0001896398131439,0.0016482262680476
v146,17664.0,-0.0003397976652176025,0.0007488325448928901,-0.0054300530173686,-0.0007389859098035499,-0.00027258140221535,0.0002000421263191,0.0015579225372802
v147,17664.0,-0.000332941339261242,0.0007799712362730262,-0.0058035938197377,-0.000751105760896425,-0.00025838672394335,0.0001960951369091,0.0016712356937801
v148,17664.0,-0.0003455543373035907,0.000896495044726242,-0.0067399675222713,-0.00076121815733335,-0.00014304371674325002,0.000178771715509775,0.0019500808622096
v149,17664.0,-0.00035576003338045855,0.0011512223644904568,-0.0089917925833354,-0.0007831212843996749,9.568043993046782e-06,0.000186235244745875,0.0024909729245916
v150,17664.0,-0.0003781275336643659,0.0015338849069538793,-0.0125468131832078,-0.0004908135896137,0.00011596543118389999,0.00023820298670495003,0.0035603359366894
v151,17664.0,-0.00046315678194923545,0.0025069779043492176,-0.0221716695521409,3.4073907619641686e-05,0.0002006984950467,0.000343059277734475,0.0058396720968953
v152,17664.0,-0.0008277471340783307,0.005718614581512808,-0.0567550716148863,0.00012314444071042502,0.0003502610949739,0.0006293078095215,0.0052303401181343
v153,17664.0,-0.0008437606209202246,0.005815616628735762,-0.0599998136835523,0.000113128181895925,0.0003281044905052,0.000658099758150675,0.0072629886238196
v154,17664.0,-0.0004458188095862969,0.0022759660112472236,-0.0144311616822744,5.797335371945933e-05,0.00021102708127234999,0.00033444142387075,0.0069570995654307
v155,17664.0,-0.00039332372929282275,0.0014838653654853599,-0.0098922198277416,-0.000425190819830725,0.0001033611607653,0.000227163729690375,0.003233532095055
v156,17664.0,-0.0003546265773780626,0.001431953620829436,-0.0086590142181195,-0.000511952011851125,0.0001118031847753,0.000237146686447275,0.0055002999227317
v157,17664.0,-0.00034857952166063413,0.0011152966755974328,-0.009184424854886,-0.0007566485853771,2.8999050550981842e-05,0.000183037372167,0.0038080588520173
v158,17664.0,-0.00033880495255892394,0.0008656161809951062,-0.0060331087493901,-0.0007576641498084001,-0.0001472903690069,0.00017832259617385,0.0029697584021509
v159,17664.0,-0.0003333939521877123,0.000759060238598036,-0.005345439413132,-0.000743512462877125,-0.00025400431054215,0.00019212543311125,0.0025463002116112
v160,17664.0,-0.0003288481671957676,0.0007277438229711299,-0.0049647586546059,-0.0007370637940923,-0.00027716638903605003,0.0002172245011394,0.0023759304271542
v161,17664.0,-0.00034122557374427866,0.0007682018042463485,-0.0049697298908397,-0.000739064649601825,-0.00026087330973694996,0.00018948147936037499,0.0023899119396348
v162,17664.0,-0.00034598241858851915,0.0008908134981078055,-0.0070690063078548,-0.0007796845283816001,-0.0001389702467619,0.000183028904097125,0.0026084710739152
v163,17664.0,-0.00035129651716260454,0.0010511531582551433,-0.0055536134767918,-0.0007107420262421,2.0127955203286252e-05,0.0001829324734589,0.0030881471073725
v164,17664.0,-0.0003803237601542469,0.0014513162915973828,-0.0089794824244514,-0.0004148697074377,0.0001166094184975,0.000218458698323425,0.0040712877539196
v165,17664.0,-0.00047959970488928636,0.0024084108102463545,-0.014586988626657,5.7594745271914716e-05,0.00020537083066985,0.00034598006594715,0.0063525758219674
v166,17664.0,-0.0007843836899587423,0.0055657540172047125,-0.0460154602330384,0.00011800083977395,0.00033126634026,0.00065833138386745,0.0113290361045644
v167,17664.0,-0.0006595131046185525,0.004894103016632994,-0.0359194934803652,0.00012745142955377498,0.00034554514972715,0.000612333177928725,0.0135650899190842
